InputID,TargetID,Distance
37552597,3251145302,23.8502676403783
55620267,704109802,50.0646780661841
55622064,6226596111,46.063707641094
79356970,6487360562,30.3988676110487
79356974,5171728363,30.0313869956544
79356978,3678420393,31.0830765438881
79356980,4591928998,34.6696983091679
79356988,4591929002,29.0000349804834
79356995,3678417087,64.3891846399785
79357001,3678420393,32.2147594918326
93850011,5251308105,5.47019849572066
93852630,5227246093,171.710153655875
93852631,5227246093,204.831219630487
93852632,5227246093,224.491472178905
93852633,5227246093,195.094005257324
93852634,5227246093,158.396729093829
93852635,239913359,155.563329087338
93852636,5227246093,120.695650396649
93852638,5227246093,105.765348108238
96314496,2036064107,25.1236018638469
96314497,2036064115,25.0643249555659
96315034,6163743799,51.9333803697151
96315038,2036059264,43.0290862538873
96315040,2036059264,46.6286161492035
96702601,5175352966,34.1796376719513
103014702,2036059293,39.733354746963
103014703,2036059278,58.0850221792081
103014705,2036059303,38.1167820821593
103014707,2036059301,22.1460580510421
103145414,239934388,150.129955465915
103145973,3371653349,163.924844499167
103147502,4724896632,83.674857293782
103147503,5988082994,106.783544844415
103147504,5987829865,112.608053340766
103147508,239934388,129.657874210166
103260043,239934617,71.0876336318154
103260044,239934617,114.11687973411
103260046,239934617,103.769353707325
103536220,3370311104,45.878732781126
103536223,2036059272,23.1995493632542
103626734,3371655204,24.2116515203169
103626735,5698619880,26.7163360871817
103626736,3370310949,31.8407091006705
103626737,2651270716,43.117574660187
103626738,3371653885,39.1209427845947
103626739,3371654889,27.2258821868235
103626740,2651270718,51.0535547065346
103626741,3370311556,39.3594125558105
103626742,4592982993,34.0472632257798
103626743,6211531513,17.5539098012073
103626744,3371653887,23.5185860058822
103626745,5284920900,28.9007287602786
103626746,3371655209,26.0879287046911
103626747,3370310955,28.6047713943377
103644276,1452385141,41.8891169613847
103644278,3371655125,30.8042196823907
104740608,239934635,117.240271231162
104740760,239934617,118.951828409606
105500306,239934617,114.870447572839
105500317,5987829865,161.106353461796
111513288,5229109686,38.1193276420616
122727884,5120745804,19.9518853990776
122727887,6757108933,9.98966921448407
122728028,5229132142,28.2519829695574
125627602,2036059278,14.0667894398681
125627603,5229132153,16.1410491183548
125627604,1395048530,50.0805478737598
125627605,4376742314,45.5358214693154
125627606,5284907051,24.3789085703712
125627607,3370311427,39.9757578663182
125627608,4376742318,12.1787385492596
125627609,4376742325,10.8299141474204
125627610,6758423867,23.0320830919119
125627612,5698425823,25.0265774927693
125627613,1395048587,26.9479327645254
125627614,6163519865,59.4358837453075
125627615,5284907064,19.9687467049491
125627616,2655461548,14.1999976761075
125627617,2036059219,36.9800785812653
125627618,2036059217,34.8625808454332
125627619,2036059179,33.7340462116132
125627620,5175409271,26.131405117028
125627621,5284907067,20.0142504192703
125627622,3370311104,27.5334334003834
125627623,2036059281,26.2327934093402
125627625,4611425437,38.1898511722043
125627626,3371653853,32.9695997338636
125627627,5698425825,23.8572831534748
125627628,2036059181,10.937502670177
125627629,2036059166,19.1250559739462
125627721,5284907042,26.0785438014856
125627722,3371655001,24.1393484429975
125631008,5698619851,2.62291686471922
125631012,6673006408,12.0406094079596
125631014,6056980492,38.1360092653157
125631016,6673006412,8.09080835157121
125635132,5120777335,43.8195219219593
125635138,5229000026,33.5547387885716
125635139,3370311556,49.7169561535712
125635141,3370311550,9.02739252832468
125635142,5698719859,26.5871865397549
132001459,1452385134,53.6444128807917
132001469,5284718094,69.1448414152804
132001470,1794761898,92.1441232851859
148404806,391196319,32.0773888343733
148408730,3370310942,30.2232494991034
148408731,3370310933,25.7096969930312
148409540,3370310968,51.1593444721519
148409541,6487285959,29.506384468059
148409809,6209007040,40.3119307164453
148543923,5175409245,25.2877662702077
148543924,6487285956,1.45454274064718
148543925,6487285956,55.5575223698582
150724675,3370311554,33.5614363010946
150724676,5120777330,48.5931474779214
150724677,5284914643,21.6735467670758
150724679,3370310927,38.4126252836914
150724680,3370311432,41.0753695934207
150724681,3370310960,41.459140854408
150724682,3370310977,45.7865053744989
150724683,5120777326,23.6809606411326
150724684,5534822378,35.2759027554596
168815544,1800153509,83.1236569291062
168815547,1370098637,105.783248783078
169227972,4611427259,23.4012504682437
169227973,5284718082,23.0654138070813
169227974,3371653889,28.7175281708972
169227975,1452385148,35.335735352149
169227977,4376742317,45.347961569254
169227978,5284718074,33.4263670017594
169227979,3371655095,24.1253718017648
169227980,6277646985,21.2722060616905
169227981,3371655005,24.0373471794347
169227982,1370098591,34.6076780145482
169467528,3371653869,26.6914310110725
169467529,3371653865,32.2279282695616
