X,Y,osmid,amenity,building,id
103.837708908296,1.34188794680287,37552597,,yes,1
103.842611262977,1.33433139487166,55620267,,yes,1
103.841703487665,1.33487560579646,55622064,,yes,1
103.859438970024,1.34167701178911,79356970,,yes,1
103.859597097194,1.3411137202753,79356974,,yes,1
103.859918629976,1.34108591615263,79356978,,yes,1
103.860952391396,1.34025603236567,79356980,,yes,1
103.860729906451,1.34021044373687,79356988,,yes,1
103.858984597729,1.342879666604,79356995,,yes,1
103.860188975629,1.34147959883395,79357001,,yes,1
103.858255605988,1.34203930180449,93850011,,yes,1
103.858312709826,1.3448202540524,93852630,,yes,1
103.858191740304,1.34512073000838,93852631,,yes,1
103.858816494144,1.34521514420442,93852632,,yes,1
103.858885417001,1.34491022483943,93852633,,yes,1
103.858662059797,1.34463767556607,93852634,,yes,1
103.859090984838,1.34444842122865,93852635,,yes,1
103.858290561015,1.34435943383056,93852636,,yes,1
103.858779244959,1.34405800422822,93852638,,yes,1
103.852501604227,1.3377686068492,96314496,,yes,1
103.852487716188,1.33815249205886,96314497,,yes,1
103.850783654924,1.33781054307786,96315034,,yes,1
103.852110263916,1.33596541478886,96315038,,yes,1
103.852706113818,1.33589483201202,96315040,,yes,1
103.850456414591,1.33041667613601,96702601,,yes,1
103.850391674941,1.33701114660946,103014702,,yes,1
103.851484003256,1.33701427174149,103014703,,yes,1
103.850390178253,1.33733762520217,103014705,,yes,1
103.851239324631,1.33733355341004,103014707,,yes,1
103.854772082507,1.34445975230573,103145414,,yes,1
103.853432571585,1.3446780942606,103145973,,yes,1
103.855144193155,1.34389045272483,103147502,,yes,1
103.855662015888,1.34412771038941,103147503,,yes,1
103.854138490874,1.34411415751656,103147504,,yes,1
103.854709411884,1.34427787414794,103147508,,yes,1
103.85177013464,1.34414287953934,103260043,,yes,1
103.852474614829,1.34425357065704,103260044,,yes,1
103.851791439561,1.34443828902075,103260046,,yes,1
103.853108757535,1.33471630371307,103536220,,yes,1
103.850540674988,1.33675385341235,103536223,,yes,1
103.845486022898,1.3415399539174,103626734,,residential,1
103.847265301306,1.34155054347967,103626735,,residential,1
103.848586274972,1.33823605388693,103626736,,residential,1
103.8491161,1.34038555,103626737,,residential,1
103.849108153639,1.34010532184899,103626738,,residential,1
103.845474482688,1.34126620853498,103626739,,residential,1
103.84817375,1.34040105,103626740,,residential,1
103.848587874729,1.33954164599456,103626741,,residential,1
103.848390074976,1.33915015425972,103626742,,residential,1
103.846355044947,1.34127158731703,103626743,,residential,1
103.8481712,1.34011155,103626744,,residential,1
103.847255723053,1.3412706641281,103626745,,residential,1
103.846364969412,1.34154834905437,103626746,,residential,1
103.84839265,1.33863125,103626747,,residential,1
103.847834997597,1.34208639562923,103644276,,residential,1
103.8465489904,1.3422591830017,103644278,,residential,1
103.848440200061,1.34471572635074,104740608,,residential,1
103.851296562435,1.34446247327207,104740760,,residential,1
103.85231065,1.3443874,105500306,,yes,1
103.854133663022,1.34455289211722,105500317,,yes,1
103.851549482112,1.33032298655255,111513288,,yes,1
103.850182128581,1.33966916717852,122727884,,yes,1
103.849798265886,1.33987329602581,122727887,,yes,1
103.850466025344,1.33354325582381,122728028,library,yes,1
103.8517942,1.3367381,125627602,,yes,1
103.85023715,1.3326326,125627603,,yes,1
103.844673924775,1.33867749186496,125627604,,yes,1
103.848058746487,1.33577827508767,125627605,,yes,1
103.845261203717,1.34001527128946,125627606,,yes,1
103.850682021064,1.33633558829945,125627607,,yes,1
103.848521888725,1.3353010485682,125627608,,retail,1
103.849181989716,1.33531420725698,125627609,,retail,1
103.84926071955,1.33358119782572,125627610,,yes,1
103.847735093066,1.33525632214055,125627612,,yes,1
103.845720049864,1.33868558940761,125627613,,yes,1
103.848661856324,1.33382206506279,125627614,,yes,1
103.844899125403,1.33955960361414,125627615,,yes,1
103.848855174987,1.33335535098418,125627616,,yes,1
103.852350343175,1.33465724438372,125627617,,residential,1
103.851796828134,1.33501502492867,125627618,,yes,1
103.851723846594,1.3343058251611,125627619,,yes,1
103.84575494986,1.33755087521369,125627620,,yes,1
103.84463300388,1.33910732887776,125627621,,yes,1
103.85273395,1.3341716,125627622,,yes,1
103.852119774252,1.33641260405312,125627623,,yes,1
103.845585475404,1.33909090163979,125627625,,yes,1
103.849824971144,1.3353188249091,125627626,,retail,1
103.851542718758,1.33628429223628,125627627,,yes,1
103.85225605274,1.3341318829298,125627628,,yes,1
103.8520542,1.3338973,125627629,,residential,1
103.84748065,1.3402985,125627721,,yes,1
103.846152777761,1.34047315079705,125627722,,yes,1
103.844271452095,1.33802694204447,125631008,,yes,1
103.845655329867,1.33827571638136,125631012,,yes,1
103.844729217296,1.33810073728765,125631014,,yes,1
103.845184967799,1.33802710038063,125631016,,yes,1
103.849511275429,1.33847244052422,125635132,,yes,1
103.84946895,1.3380788,125635138,,yes,1
103.84901295,1.33891175,125635139,,yes,1
103.849622483545,1.33902629860482,125635141,,yes,1
103.848956904639,1.33714716066473,125635142,,yes,1
103.850053607079,1.34277931822668,132001459,,yes,1
103.851025505909,1.34272451347938,132001469,,yes,1
103.850352498651,1.34318701101879,132001470,,yes,1
103.859466152862,1.33736857553519,148404806,,yes,1
103.859323187203,1.33824597457438,148408730,,yes,1
103.858814725162,1.33758849710326,148408731,,yes,1
103.859201261598,1.33871493657884,148409540,,yes,1
103.85894259059,1.33712211582863,148409541,,yes,1
103.854415536162,1.34026667461526,148409809,marketplace,yes,1
103.858948021154,1.33459613058296,148543923,clinic,yes,1
103.858961211763,1.33638741028453,148543924,,yes,1
